Time [min:sec]	P [h Pa]	T [¡ÆC]	U [%]	Wsp [m/s]	Wdir [¡Æ]	Lon [¡Æ]   	Lat [¡Æ]  	Altitude [m]	Dew [¡ÆC]	Vi Te [¡ÆC]	Rs [m/min]
01:38         	1002.1  	25.56 	74   	1.1      	200     	129.025124	35.165540	60.8        	20.6    	28.3      	37.2      
01:40         	1001.9  	25.56 	74   	1.1      	200     	129.025124	35.165540	62.1        	20.6    	28.3      	37.2      
01:42         	1001.8  	25.56 	74   	1.1      	200     	129.025124	35.165540	63.3        	20.6    	28.3      	37.2      
01:44         	1001.7  	25.56 	74   	1.1      	200     	129.025124	35.165540	64.5        	20.6    	28.3      	37.2      
01:46         	1001.5  	25.56 	74   	1.1      	201     	129.025124	35.165540	65.8        	20.6    	28.3      	37.2      
01:48         	1001.4  	25.56 	74   	1.0      	201     	129.025124	35.165540	67.0        	20.6    	28.3      	37.2      
01:50         	1001.2  	25.56 	74   	1.0      	201     	129.025124	35.165540	68.3        	20.6    	28.3      	37.2      
01:52         	1001.1  	25.56 	74   	1.0      	201     	129.025124	35.165539	69.5        	20.6    	28.3      	37.2      
01:54         	1000.9  	25.56 	74   	1.0      	201     	129.025124	35.165539	70.7        	20.6    	28.3      	37.2      
01:56         	1000.8  	25.56 	74   	1.0      	201     	129.025124	35.165539	72.0        	20.6    	28.3      	37.2      
01:58         	1000.7  	25.56 	74   	0.9      	201     	129.025124	35.165539	73.2        	20.7    	28.3      	37.2      
02:00         	1000.5  	25.55 	74   	0.9      	201     	129.025124	35.165539	74.5        	20.7    	28.3      	37.2      
02:02         	1000.4  	25.55 	74   	0.9      	201     	129.025124	35.165539	75.7        	20.7    	28.3      	37.2      
02:04         	1000.2  	25.55 	74   	0.9      	201     	129.025124	35.165539	77.0        	20.7    	28.3      	37.2      
02:06         	1000.1  	25.55 	75   	0.9      	201     	129.025124	35.165539	78.2        	20.7    	28.3      	37.2      
02:08         	1000.0  	25.55 	75   	0.9      	201     	129.025124	35.165539	79.4        	20.7    	28.3      	37.2      
02:10         	999.8   	25.55 	75   	0.8      	201     	129.025124	35.165539	80.7        	20.7    	28.3      	37.2      
02:12         	999.7   	25.55 	75   	0.8      	201     	129.025124	35.165539	81.9        	20.7    	28.3      	37.2      
02:14         	999.5   	25.55 	75   	0.8      	201     	129.025124	35.165539	83.2        	20.7    	28.3      	37.2      
02:16         	999.4   	25.55 	75   	0.8      	201     	129.025124	35.165539	84.4        	20.7    	28.3      	37.2      
02:18         	999.3   	25.55 	75   	0.8      	201     	129.025123	35.165539	85.6        	20.7    	28.3      	37.2      
02:20         	999.1   	25.55 	75   	0.7      	201     	129.025123	35.165539	86.9        	20.7    	28.3      	37.2      
02:22         	999.0   	25.55 	75   	0.7      	201     	129.025123	35.165539	88.1        	20.7    	28.3      	37.2      
02:24         	998.8   	25.55 	75   	0.7      	201     	129.025123	35.165539	89.4        	20.8    	28.3      	37.2      
02:26         	998.7   	25.54 	75   	0.7      	201     	129.025123	35.165539	90.6        	20.8    	28.3      	37.2      
02:28         	998.6   	25.54 	75   	0.7      	201     	129.025123	35.165539	91.9        	20.8    	28.3      	37.2      
02:30         	998.4   	25.54 	75   	0.7      	201     	129.025123	35.165539	93.1        	20.8    	28.3      	37.2      
02:32         	998.3   	25.54 	75   	0.6      	201     	129.025123	35.165539	94.3        	20.8    	28.3      	37.2      
02:34         	998.1   	25.54 	75   	0.6      	201     	129.025123	35.165539	95.6        	20.8    	28.3      	37.2      
02:36         	998.0   	25.54 	75   	0.6      	201     	129.025123	35.165539	96.8        	20.8    	28.3      	37.2      
02:38         	997.9   	25.54 	75   	0.6      	201     	129.025123	35.165539	98.1        	20.8    	28.3      	37.2      
02:40         	997.7   	25.54 	75   	0.6      	201     	129.025123	35.165539	99.3        	20.8    	28.3      	37.2      
02:42         	997.6   	25.54 	75   	0.6      	201     	129.025123	35.165539	100.5       	20.8    	28.3      	37.2      
02:44         	997.4   	25.54 	75   	0.5      	202     	129.025123	35.165539	101.8       	20.8    	28.3      	37.2      
02:46         	997.3   	25.54 	75   	0.5      	202     	129.025123	35.165538	103.0       	20.8    	28.3      	37.2      
02:48         	997.2   	25.54 	75   	0.5      	202     	129.025123	35.165538	104.3       	20.9    	28.3      	37.2      
02:50         	997.0   	25.54 	75   	0.5      	202     	129.025123	35.165538	105.5       	20.9    	28.3      	37.2      
02:52         	996.9   	25.53 	75   	0.5      	202     	129.025123	35.165538	106.7       	20.9    	28.3      	37.2      
02:54         	996.7   	25.53 	75   	0.4      	202     	129.025123	35.165538	108.0       	20.9    	28.3      	37.2      
02:56         	996.6   	25.53 	76   	0.4      	202     	129.025123	35.165538	109.2       	20.9    	28.3      	37.2      
02:58         	996.5   	25.53 	76   	0.4      	202     	129.025123	35.165538	110.5       	20.9    	28.3      	37.2      
03:00         	996.3   	25.53 	76   	0.4      	202     	129.025123	35.165538	111.7       	20.9    	28.3      	37.2      
03:02         	996.2   	25.53 	76   	0.4      	202     	129.025123	35.165538	113.0       	20.9    	28.3      	37.2      
03:04         	996.0   	25.53 	76   	0.4      	203     	129.025123	35.165538	114.2       	20.9    	28.3      	37.2      
03:06         	995.9   	25.53 	76   	0.3      	203     	129.025123	35.165538	115.4       	20.9    	28.3      	37.2      
03:08         	995.8   	25.53 	76   	0.3      	203     	129.025123	35.165538	116.7       	20.9    	28.3      	37.2      
03:10         	995.6   	25.53 	76   	0.3      	203     	129.025123	35.165538	117.9       	20.9    	28.3      	37.2      
03:12         	995.5   	25.53 	76   	0.3      	203     	129.025123	35.165538	119.2       	20.9    	28.3      	37.2      
03:14         	995.3   	25.53 	76   	0.3      	204     	129.025123	35.165538	120.4       	21.0    	28.3      	37.2      
03:16         	995.2   	25.53 	76   	0.2      	204     	129.025123	35.165538	121.6       	21.0    	28.3      	37.2      
03:18         	995.1   	25.52 	76   	0.2      	204     	129.025122	35.165538	122.9       	21.0    	28.3      	37.2      
03:20         	994.9   	25.52 	76   	0.2      	205     	129.025122	35.165538	124.1       	21.0    	28.3      	37.2      
03:22         	994.8   	25.52 	76   	0.2      	205     	129.025122	35.165538	125.4       	21.0    	28.3      	37.2      
03:24         	994.6   	25.52 	76   	0.2      	206     	129.025122	35.165538	126.6       	21.0    	28.3      	37.2      
03:26         	994.5   	25.52 	76   	0.2      	207     	129.025122	35.165538	127.8       	21.0    	28.3      	37.2      
03:28         	994.4   	25.52 	76   	0.1      	207     	129.025122	35.165538	129.1       	21.0    	28.4      	37.2      
03:30         	994.2   	25.52 	76   	0.1      	209     	129.025122	35.165538	130.3       	21.0    	28.4      	37.2      
03:32         	994.1   	25.52 	76   	0.1      	210     	129.025122	35.165538	131.6       	21.0    	28.4      	37.2      
03:34         	993.9   	25.52 	76   	0.1      	212     	129.025122	35.165538	132.8       	21.0    	28.4      	37.2      
03:36         	993.8   	25.52 	76   	0.1      	215     	129.025122	35.165538	134.1       	21.0    	28.4      	37.2      
03:38         	993.7   	25.52 	76   	0.1      	221     	129.025122	35.165538	135.3       	21.0    	28.4      	37.2      
03:40         	993.5   	25.52 	76   	0.0      	230     	129.025122	35.165538	136.5       	21.1    	28.4      	37.2      
03:42         	993.4   	25.52 	76   	0.0      	251     	129.025124	35.165538	137.8       	21.1    	28.4      	37.2      
03:44         	993.2   	25.51 	76   	0.0      	295     	129.025126	35.165538	139.0       	21.1    	28.4      	37.2      
03:46         	993.1   	25.51 	77   	0.0      	334     	129.025128	35.165539	140.3       	21.1    	28.4      	37.2      
03:48         	993.0   	25.50 	77   	0.0      	352     	129.025130	35.165539	141.5       	21.1    	28.4      	37.2      
03:50         	992.9   	25.50 	77   	0.1      	360     	129.025132	35.165539	142.7       	21.1    	28.4      	35.8      
03:52         	992.8   	25.49 	77   	0.1      	004     	129.025134	35.165540	143.4       	21.2    	28.4      	21.5      
03:54         	992.7   	25.49 	77   	0.1      	007     	129.025136	35.165540	144.1       	21.2    	28.4      	21.5      
03:56         	992.6   	25.48 	77   	0.1      	009     	129.025138	35.165541	144.8       	21.2    	28.3      	21.5      
03:58         	992.5   	25.46 	77   	0.1      	011     	129.025139	35.165541	145.6       	21.2    	28.3      	21.5      
04:00         	992.4   	25.45 	77   	0.1      	012     	129.025141	35.165542	146.3       	21.2    	28.3      	21.5      
04:02         	992.4   	25.44 	77   	0.1      	012     	129.025142	35.165543	147.0       	21.2    	28.3      	21.5      
04:04         	992.3   	25.43 	77   	0.1      	012     	129.025144	35.165544	147.7       	21.2    	28.3      	21.3      
04:06         	992.2   	25.42 	78   	0.1      	012     	129.025145	35.165545	147.9       	21.2    	28.3      	6.1       
04:08         	992.2   	25.41 	78   	0.1      	012     	129.025146	35.165545	148.1       	21.2    	28.3      	6.1       
04:10         	992.2   	25.40 	78   	0.1      	012     	129.025148	35.165546	148.3       	21.2    	28.3      	6.1       
04:12         	992.2   	25.36 	78   	0.1      	012     	129.025149	35.165547	148.5       	21.2    	28.2      	6.1       
04:14         	992.2   	25.33 	78   	0.1      	012     	129.025150	35.165548	148.7       	21.1    	28.2      	6.1       
04:16         	992.1   	25.29 	78   	0.1      	012     	129.025152	35.165549	148.9       	21.1    	28.1      	6.1       
04:18         	992.1   	25.26 	78   	0.1      	012     	129.025153	35.165549	149.1       	21.1    	28.1      	6.1       
04:20         	992.1   	25.23 	78   	0.1      	012     	129.025155	35.165550	149.3       	21.0    	28.1      	6.1       
04:22         	992.1   	25.19 	78   	0.1      	012     	129.025156	35.165551	149.5       	21.0    	28.0      	6.1       
04:24         	992.0   	25.16 	78   	0.1      	012     	129.025157	35.165552	149.8       	21.0    	28.0      	6.1       
04:26         	992.0   	25.13 	78   	0.1      	012     	129.025159	35.165553	150.0       	20.9    	28.0      	6.1       
04:28         	992.0   	25.15 	78   	0.1      	012     	129.025159	35.165553	150.2       	21.0    	28.0      	6.1       
04:30         	992.0   	25.18 	78   	0.1      	012     	129.025160	35.165554	150.4       	21.0    	28.0      	6.1       
04:32         	991.9   	25.21 	78   	0.1      	012     	129.025160	35.165554	150.6       	21.0    	28.0      	6.1       
04:34         	991.9   	25.23 	78   	0.1      	012     	129.025161	35.165555	150.8       	21.1    	28.1      	6.1       
04:36         	991.9   	25.26 	78   	0.1      	012     	129.025161	35.165555	150.9       	21.1    	28.1      	4.3       
04:38         	991.9   	25.28 	78   	0.1      	012     	129.025162	35.165555	151.0       	21.2    	28.1      	3.4       
04:40         	991.9   	25.31 	78   	0.1      	012     	129.025162	35.165556	151.1       	21.2    	28.2      	3.4       
04:42         	991.9   	25.33 	78   	0.1      	008     	129.025162	35.165556	151.3       	21.3    	28.2      	3.4       
04:44         	991.9   	25.40 	78   	0.1      	360     	129.025163	35.165557	151.4       	21.4    	28.3      	3.4       
04:46         	991.8   	25.47 	79   	0.0      	349     	129.025163	35.165557	151.5       	21.5    	28.4      	3.4       
04:48         	991.8   	25.54 	79   	0.0      	337     	129.025164	35.165558	151.6       	21.6    	28.5      	3.4       
04:50         	991.8   	25.61 	79   	0.0      	323     	129.025164	35.165558	151.7       	21.7    	28.6      	3.4       
04:52         	991.8   	25.68 	79   	0.0      	308     	129.025165	35.165559	151.8       	21.7    	28.6      	3.4       
04:54         	991.8   	25.75 	79   	0.0      	296     	129.025165	35.165559	151.9       	21.8    	28.7      	3.4       
04:56         	991.8   	25.82 	79   	0.1      	285     	129.025166	35.165560	152.0       	21.9    	28.8      	3.4       
04:58         	991.8   	25.82 	79   	0.1      	277     	129.025166	35.165560	152.2       	21.9    	28.8      	3.4       
05:00         	991.8   	25.82 	79   	0.1      	271     	129.025169	35.165561	152.3       	21.9    	28.8      	3.4       
05:02         	991.7   	25.82 	79   	0.1      	265     	129.025172	35.165561	152.4       	21.9    	28.8      	3.4       
05:04         	991.7   	25.82 	79   	0.1      	259     	129.025174	35.165562	152.5       	21.9    	28.8      	3.4       
05:06         	991.7   	25.82 	79   	0.1      	254     	129.025177	35.165562	152.6       	21.9    	28.8      	3.2       
05:08         	991.7   	25.82 	79   	0.1      	249     	129.025180	35.165563	152.7       	21.9    	28.8      	2.8       
05:10         	991.7   	25.81 	79   	0.1      	245     	129.025182	35.165564	152.8       	21.8    	28.8      	2.8       
05:12         	991.7   	25.81 	78   	0.1      	241     	129.025185	35.165564	152.9       	21.7    	28.8      	2.8       
05:14         	991.7   	25.81 	78   	0.1      	238     	129.025187	35.165565	153.0       	21.7    	28.8      	2.8       
05:16         	991.7   	25.82 	78   	0.1      	235     	129.025190	35.165565	153.1       	21.6    	28.8      	2.8       
05:18         	991.7   	25.83 	77   	0.1      	232     	129.025193	35.165566	153.2       	21.5    	28.8      	2.8       
05:20         	991.6   	25.84 	77   	0.1      	230     	129.025195	35.165566	153.2       	21.5    	28.8      	2.8       
05:22         	991.6   	25.84 	77   	0.1      	228     	129.025198	35.165567	153.3       	21.4    	28.8      	2.8       
05:24         	991.6   	25.85 	76   	0.1      	228     	129.025201	35.165568	153.4       	21.4    	28.8      	2.8       
05:26         	991.6   	25.86 	76   	0.1      	228     	129.025203	35.165568	153.5       	21.4    	28.8      	2.8       
05:28         	991.6   	25.87 	76   	0.1      	228     	129.025205	35.165568	153.6       	21.4    	28.8      	2.8       
05:30         	991.6   	25.88 	77   	0.1      	228     	129.025207	35.165568	153.7       	21.4    	28.8      	2.8       
05:32         	991.6   	25.89 	77   	0.1      	228     	129.025208	35.165568	153.8       	21.5    	28.8      	2.8       
05:34         	991.6   	25.89 	77   	0.1      	228     	129.025209	35.165567	153.9       	21.5    	28.8      	2.8       
05:36         	991.6   	25.90 	77   	0.1      	228     	129.025210	35.165567	154.0       	21.5    	28.8      	3.9       
05:38         	991.5   	25.90 	77   	0.1      	228     	129.025211	35.165567	154.2       	21.5    	28.8      	6.0       
05:40         	991.5   	25.91 	77   	0.1      	228     	129.025213	35.165566	154.4       	21.5    	28.8      	6.0       
05:42         	991.5   	25.91 	77   	0.1      	228     	129.025214	35.165566	154.6       	21.6    	28.9      	6.0       
05:44         	991.5   	25.92 	77   	0.2      	229     	129.025215	35.165566	154.8       	21.6    	28.9      	6.0       
05:46         	991.4   	25.92 	77   	0.3      	230     	129.025216	35.165566	155.0       	21.6    	28.9      	6.0       
05:48         	991.4   	25.94 	77   	0.4      	230     	129.025218	35.165565	155.2       	21.6    	28.9      	6.0       
05:50         	991.4   	25.96 	77   	0.5      	230     	129.025219	35.165565	155.4       	21.6    	28.9      	6.0       
05:52         	991.4   	25.98 	77   	0.5      	230     	129.025220	35.165565	155.6       	21.6    	28.9      	6.0       
05:54         	991.4   	26.00 	77   	0.6      	230     	129.025221	35.165564	155.8       	21.6    	28.9      	6.0       
05:56         	991.3   	26.02 	77   	0.7      	230     	129.025222	35.165564	156.0       	21.6    	29.0      	6.0       
05:58         	991.3   	26.04 	77   	0.8      	230     	129.025236	35.165576	156.2       	21.6    	29.0      	6.0       
06:00         	991.3   	26.06 	77   	0.9      	230     	129.025267	35.165603	156.4       	21.6    	29.0      	6.0       
06:02         	991.3   	26.08 	77   	1.0      	230     	129.025297	35.165631	156.6       	21.6    	29.0      	6.0       
06:04         	991.2   	25.90 	76   	1.2      	228     	129.025327	35.165659	156.8       	21.4    	28.8      	6.0       
06:06         	991.2   	25.72 	76   	1.4      	225     	129.025358	35.165687	157.4       	21.2    	28.6      	18.8      
06:08         	991.0   	25.54 	76   	1.6      	223     	129.025388	35.165714	159.1       	21.0    	28.4      	49.4      
06:10         	990.8   	25.36 	76   	1.8      	221     	129.025418	35.165742	160.7       	20.8    	28.2      	49.4      
06:12         	990.6   	25.18 	76   	2.0      	219     	129.025449	35.165770	162.4       	20.6    	28.0      	49.4      
06:14         	990.4   	25.00 	76   	2.2      	218     	129.025479	35.165798	164.0       	20.4    	27.7      	49.4      
06:16         	990.3   	24.82 	76   	2.5      	217     	129.025509	35.165825	165.7       	20.2    	27.5      	49.4      
06:18         	990.1   	24.65 	76   	2.7      	217     	129.025540	35.165853	167.3       	20.1    	27.3      	49.4      
06:20         	989.9   	24.62 	76   	2.9      	216     	129.025570	35.165881	169.0       	20.1    	27.3      	49.4      
06:22         	989.7   	24.59 	76   	3.1      	216     	129.025600	35.165909	170.6       	20.1    	27.3      	49.4      
06:24         	989.5   	24.57 	76   	3.3      	215     	129.025630	35.165936	172.3       	20.1    	27.2      	49.4      
06:26         	989.3   	24.54 	76   	3.2      	216     	129.025661	35.165964	173.9       	20.1    	27.2      	49.4      
06:28         	989.1   	24.51 	76   	3.2      	216     	129.025700	35.166001	175.5       	20.1    	27.2      	49.4      
06:30         	989.0   	24.48 	77   	3.2      	216     	129.025747	35.166044	177.2       	20.1    	27.2      	49.4      
06:32         	988.7   	24.45 	77   	3.2      	216     	129.025793	35.166087	178.8       	20.1    	27.1      	49.4      
06:34         	988.5   	24.42 	77   	3.2      	217     	129.025839	35.166130	180.5       	20.1    	27.1      	49.4      
06:36         	988.3   	24.39 	77   	3.2      	217     	129.025885	35.166173	182.8       	20.1    	27.1      	69.3      
06:38         	988.0   	24.37 	77   	3.2      	217     	129.025931	35.166216	185.5       	20.1    	27.0      	81.2      
06:40         	987.7   	24.34 	77   	3.2      	218     	129.025977	35.166260	188.2       	20.1    	27.0      	81.2      
06:42         	987.4   	24.32 	77   	3.1      	218     	129.026023	35.166303	190.9       	20.1    	27.0      	81.2      
06:44         	987.1   	24.29 	77   	3.1      	218     	129.026069	35.166346	193.6       	20.1    	27.0      	81.2      
06:46         	986.8   	24.27 	77   	3.1      	219     	129.026116	35.166389	196.3       	20.1    	27.0      	81.2      
06:48         	986.5   	24.25 	78   	3.1      	220     	129.026162	35.166432	199.0       	20.1    	26.9      	81.2      
06:50         	986.2   	24.22 	78   	3.1      	221     	129.026208	35.166475	201.7       	20.1    	26.9      	81.2      
06:52         	985.9   	24.19 	78   	3.0      	222     	129.026254	35.166518	204.4       	20.1    	26.9      	81.2      
06:54         	985.6   	24.16 	78   	3.0      	223     	129.026300	35.166561	207.1       	20.1    	26.8      	81.2      
06:56         	985.3   	24.13 	78   	3.0      	224     	129.026346	35.166604	209.9       	20.0    	26.8      	81.2      
06:58         	985.0   	24.10 	78   	3.0      	225     	129.026396	35.166645	212.6       	20.0    	26.8      	81.2      
07:00         	984.7   	24.06 	78   	3.0      	226     	129.026453	35.166680	215.3       	20.0    	26.7      	81.2      
07:02         	984.4   	24.03 	78   	3.0      	227     	129.026511	35.166715	218.0       	20.0    	26.7      	81.2      
07:04         	984.1   	24.00 	78   	3.0      	227     	129.026568	35.166750	220.7       	20.0    	26.7      	81.2      
07:06         	983.8   	23.97 	78   	3.0      	228     	129.026625	35.166785	223.1       	20.0    	26.6      	72.5      
07:08         	983.6   	23.93 	79   	3.1      	229     	129.026683	35.166820	225.3       	20.0    	26.6      	65.8      
07:10         	983.3   	23.89 	79   	3.1      	229     	129.026740	35.166855	227.5       	19.9    	26.6      	65.8      
07:12         	983.1   	23.85 	79   	3.2      	229     	129.026797	35.166891	229.7       	19.9    	26.5      	65.8      
07:14         	982.8   	23.81 	79   	3.2      	230     	129.026855	35.166926	231.9       	19.9    	26.5      	65.8      
07:16         	982.6   	23.76 	79   	3.3      	230     	129.026912	35.166961	234.1       	19.9    	26.4      	65.8      
07:18         	982.3   	23.72 	79   	3.3      	231     	129.026969	35.166996	236.2       	19.9    	26.4      	65.8      
07:20         	982.1   	23.68 	79   	3.4      	231     	129.027027	35.167031	238.4       	19.9    	26.3      	65.8      
07:22         	981.8   	23.65 	79   	3.4      	232     	129.027084	35.167066	240.6       	19.8    	26.3      	65.8      
07:24         	981.6   	23.61 	79   	3.5      	232     	129.027141	35.167101	242.8       	19.8    	26.3      	65.8      
07:26         	981.4   	23.58 	79   	3.5      	232     	129.027199	35.167136	245.0       	19.8    	26.2      	65.8      
07:28         	981.1   	23.55 	80   	3.4      	232     	129.027256	35.167171	247.2       	19.8    	26.2      	65.8      
07:30         	980.9   	23.51 	80   	3.4      	233     	129.027319	35.167203	249.4       	19.8    	26.2      	65.8      
07:32         	980.6   	23.48 	80   	3.4      	233     	129.027382	35.167234	251.6       	19.8    	26.1      	65.8      
07:34         	980.4   	23.45 	80   	3.4      	233     	129.027445	35.167265	253.8       	19.8    	26.1      	65.8      
07:36         	980.1   	23.41 	80   	3.4      	233     	129.027508	35.167296	256.1       	19.8    	26.1      	71.0      
07:38         	979.8   	23.38 	80   	3.3      	233     	129.027570	35.167328	258.7       	19.7    	26.0      	76.0      
07:40         	979.5   	23.35 	80   	3.3      	233     	129.027633	35.167359	261.2       	19.7    	26.0      	76.0      
07:42         	979.3   	23.33 	80   	3.3      	233     	129.027696	35.167390	263.7       	19.7    	26.0      	76.0      
07:44         	979.0   	23.30 	80   	3.3      	234     	129.027759	35.167421	266.3       	19.7    	25.9      	76.0      
07:46         	978.7   	23.27 	80   	3.2      	234     	129.027822	35.167453	268.8       	19.7    	25.9      	76.0      
07:48         	978.4   	23.24 	81   	3.3      	234     	129.027884	35.167484	271.3       	19.7    	25.9      	76.0      
07:50         	978.1   	23.21 	81   	3.3      	235     	129.027947	35.167515	273.9       	19.7    	25.8      	76.0      
07:52         	977.8   	23.18 	81   	3.3      	235     	129.028010	35.167546	276.4       	19.7    	25.8      	76.0      
07:54         	977.6   	23.15 	81   	3.3      	236     	129.028073	35.167578	278.9       	19.7    	25.8      	76.0      
07:56         	977.3   	23.13 	81   	3.3      	236     	129.028136	35.167609	281.5       	19.7    	25.8      	76.0      
07:58         	977.0   	23.11 	81   	3.3      	237     	129.028199	35.167640	284.0       	19.7    	25.7      	76.0      
08:00         	976.7   	23.09 	81   	3.4      	237     	129.028261	35.167671	286.5       	19.6    	25.7      	76.0      
08:02         	976.4   	23.07 	81   	3.4      	237     	129.028330	35.167700	289.1       	19.6    	25.7      	76.0      
08:04         	976.1   	23.05 	81   	3.4      	238     	129.028399	35.167729	291.6       	19.6    	25.7      	76.0      
08:06         	975.9   	23.03 	81   	3.4      	238     	129.028469	35.167757	294.1       	19.6    	25.7      	76.0      
